OrderID,OrderDate,Category,Product,Region,Units,UnitPrice,UnitCost,DiscountRate
ORD-20240526-00000,2024-05-26,Cómputo,Laptop Pro,norte,11,1106.38,759.91,0.13
ORD-20230616-00001,2023-06-16,Tablet,Tablet Mini,este ,8,455.19,346.93,0.25
ORD-20240730-00002,2024-07-30,Accesorio,Mouse, Sur,8,101.49,73.09,0.15
ORD-20230820-00003,2023-08-20,Teléfono,Teléfono Z,este,10,880.48,540.63,0.15
ORD-20230530-00004,2023-05-30,Cómputo,Laptop Air,Sur,10,1146.22,895.28,0.13
ORD-20240805-00005,2024-08-05,Teléfono,Teléfono Z, oeste,3,1290.72,807.41,0.03
ORD-20240414-00006,2024-04-14,Teléfono,Teléfono X,SUR,10,1267.47,954.05,0.21
ORD-20240509-00007,2024-05-09,Accesorio,Teclado,Sur,8,145.45,98.3,0.26
ORD-20241223-00008,2024-12-23,Accesorio,Teclado,este,8,113.2,71.51,0.01
ORD-20231013-00009,2023-10-13,Teléfono,Teléfono Z, ESTE,4,1098.26,798.75,0.08
ORD-20240905-00010,2024-09-05,Accesorio,Teclado, norte ,5,136.18,82.21,0.09
ORD-20230901-00011,2023-09-01,Tablet,Tablet Plus, norte ,9,663.17,428.54,0.08
ORD-20240219-00012,2024-02-19,Cómputo,Laptop Mini, ESTE,8,1389.57,955.25,0.25
ORD-20240313-00013,2024-03-13,Tablet,Tablet Mini,este,6,471.21,333.39,0.22
ORD-20230605-00014,2023-06-05,Teléfono,Teléfono Y,este ,6,946.73,695.45,0.18
ORD-20230517-00015,2023-05-17,Cómputo,Laptop Air,Norte,9,1510.69,1136.99,0.28
ORD-20230617-00016,2023-06-17,Teléfono,Teléfono Z,Norte,7,1157.93,845.4,0.17
ORD-20240506-00017,2024-05-06,Cómputo,Laptop Pro,SUR,5,1382.59,885.24,0.24
ORD-20240324-00018,2024-03-24,Tablet,Tablet Plus,Este,9,787.18,560.51,0.15
ORD-20241119-00019,2024-11-19,Teléfono,Teléfono Y,Oeste  ,12,918.05,558.65,0.08
ORD-20240531-00020,2024-05-31,Tablet,Tablet Mini,este ,3,899.41,678.56,0.23
ORD-20230701-00021,2023-07-01,Accesorio,Audífonos,Oeste  ,5,69.38,42.64,0.02
ORD-20241030-00022,2024-10-30,Cómputo,Laptop Air, norte ,8,1387.06,1027.36,0.07
ORD-20241124-00023,2024-11-24,Accesorio,Mouse,este ,11,29.29,17.83,0.23
ORD-20240619-00024,2024-06-19,Tablet,Tablet Plus,Norte,14,362.0,281.9,0.11
ORD-20240502-00025,2024-05-02,Tablet,Tablet Mini, oeste,9,530.25,384.32,0.19
ORD-20230406-00026,2023-04-06,Tablet,Tablet Mini,NORTE ,11,649.78,509.73,0.27
ORD-20230312-00027,2023-03-12,Cómputo,Laptop Pro, Sur,7,1089.94,823.29,0.25
ORD-20230714-00028,2023-07-14,Cómputo,Laptop Pro, oeste,10,1132.59,728.24,0.11
ORD-20231119-00029,2023-11-19,Accesorio,Cargador,OESTE ,11,75.75,58.07,0.14
ORD-20230222-00030,2023-02-22,Tablet,Tablet Mini,este,7,304.23,214.85,0.14
ORD-20241010-00031,2024-10-10,Tablet,Tablet Mini,SUR,11,415.12,289.89,0.23
ORD-20231213-00032,2023-12-13,Cómputo,Laptop Mini,OESTE ,8,1699.82,1033.57,0.19
ORD-20240524-00033,2024-05-24,Tablet,Tablet Mini,sur ,13,789.94,561.4,0.01
ORD-20230605-00034,2023-06-05,Accesorio,Audífonos,Norte,9,54.88,38.12,0.11
ORD-20230827-00035,2023-08-27,Cómputo,Laptop Mini, oeste,9,1815.11,1269.0,0.07
ORD-20230326-00036,2023-03-26,Tablet,Tablet Mini,Oeste,9,350.99,277.42,0.26
ORD-20240620-00037,2024-06-20,Accesorio,Cargador, oeste,3,141.73,105.25,0.06
ORD-20240719-00038,2024-07-19,Tablet,Tablet Mini,norte,14,373.83,253.7,0.06
ORD-20230610-00039,2023-06-10,Tablet,Tablet Plus,SUR,8,511.57,311.27,0.16
ORD-20240606-00040,2024-06-06,Tablet,Tablet Plus,Norte,8,824.62,591.72,0.05
ORD-20230301-00041,2023-03-01,Teléfono,Teléfono Y,Sur,12,635.97,447.36,0.04
ORD-20231014-00042,2023-10-14,Cómputo,Laptop Mini, norte ,5,1425.32,1092.25,0.0
ORD-20230427-00043,2023-04-27,Accesorio,Audífonos, Sur,6,44.27,30.0,0.25
ORD-20240627-00044,2024-06-27,Cómputo,Laptop Mini, ESTE,6,1469.78,1097.45,0.14
ORD-20230906-00045,2023-09-06,Teléfono,Teléfono Z,Oeste  ,8,1109.18,736.79,
ORD-20231213-00046,2023-12-13,Teléfono,Teléfono Z,Oeste,10,1185.14,716.93,0.22
ORD-20231207-00047,2023-12-07,Accesorio,Cargador,Sur,10,101.79,72.2,0.04
ORD-20231214-00048,2023-12-14,Cómputo,Laptop Air,NORTE ,11,1892.7,1147.16,0.07
ORD-20230714-00049,2023-07-14,Cómputo,Laptop Mini,Oeste,5,1317.34,922.1,0.11
ORD-20240212-00050,2024-02-12,Cómputo,Laptop Mini,NORTE ,12,1468.97,907.46,0.04
ORD-20240819-00051,2024-08-19,Accesorio,Audífonos, Sur,10,41.69,26.6,
ORD-20231231-00052,2023-12-31,Cómputo,Laptop Pro,NORTE ,3,951.36,612.33,0.19
ORD-20230522-00053,2023-05-22,Cómputo,Laptop Mini,SUR,4,1894.97,1447.55,0.05
ORD-20230118-00054,2023-01-18,Teléfono,Teléfono X,Oeste,1,727.98,452.55,0.0
ORD-20230405-00055,2023-04-05,Teléfono,Teléfono X,Oeste,5,509.53,384.95,0.12
ORD-20230301-00056,2023-03-01,Cómputo,Laptop Mini, ESTE,7,1148.99,736.51,0.01
ORD-20230309-00057,2023-03-09,Accesorio,Teclado,OESTE ,11,147.84,92.0,0.23
ORD-20230331-00058,2023-03-31,Cómputo,Laptop Mini,norte,9,1934.13,1320.46,0.18
ORD-20240313-00059,2024-03-13,Teléfono,Teléfono X,Este,6,829.73,531.29,0.02
ORD-20240812-00060,2024-08-12,Accesorio,Audífonos,OESTE ,7,121.53,73.06,0.25
ORD-20240916-00061,2024-09-16,Tablet,Tablet Mini,Oeste  ,5,727.68,459.0,0.03
ORD-20240422-00062,2024-04-22,Accesorio,Mouse, norte ,9,90.41,59.4,0.17
ORD-20240315-00063,2024-03-15,Teléfono,Teléfono Z,SUR,8,815.21,612.42,0.14
ORD-20230831-00064,2023-08-31,Accesorio,Cargador,Este,6,76.53,57.96,0.09
ORD-20241112-00065,2024-11-12,Tablet,Tablet Mini,este ,7,518.88,412.34,0.0
ORD-20240413-00066,2024-04-13,Accesorio,Cargador,Este,8,20.26,12.78,0.28
ORD-20240613-00067,2024-06-13,Accesorio,Teclado,Oeste  ,10,74.61,47.76,0.13
ORD-20240620-00068,2024-06-20,Accesorio,Audífonos,este,6,139.43,104.73,0.28
ORD-20240921-00069,2024-09-21,Cómputo,Laptop Mini, oeste,6,1940.96,1545.86,0.19
ORD-20240528-00070,2024-05-28,Accesorio,Mouse,este ,11,149.26,109.42,0.12
ORD-20241110-00071,2024-11-10,Tablet,Tablet Plus, Sur,9,544.88,337.97,0.09
ORD-20240131-00072,2024-01-31,Tablet,Tablet Mini,Norte,14,336.3,232.94,0.29
ORD-20240204-00073,2024-02-04,Teléfono,Teléfono Y, Sur,11,894.86,650.86,0.17
ORD-20230703-00074,2023-07-03,Tablet,Tablet Plus,OESTE ,5,657.92,467.66,0.04
ORD-20241116-00075,2024-11-16,Tablet,Tablet Mini,Oeste  ,7,403.5,304.72,0.13
ORD-20240209-00076,2024-02-09,Teléfono,Teléfono Z,este ,10,632.49,395.03,0.2
ORD-20231228-00077,2023-12-28,Accesorio,Audífonos, Sur,5,73.6,56.97,0.24
ORD-20230820-00078,2023-08-20,Cómputo,Laptop Air,este,5,1184.98,795.15,0.11
ORD-20230720-00079,2023-07-20,Teléfono,Teléfono Z,este ,4,1113.63,821.58,0.16
ORD-20240407-00080,2024-04-07,Accesorio,Teclado, Sur,10,101.98,74.59,0.09
ORD-20231127-00081,2023-11-27,Cómputo,Laptop Pro, Sur,6,1182.48,839.85,0.17
ORD-20240220-00082,2024-02-20,Teléfono,Teléfono Z,Oeste  ,10,1244.68,781.78,0.17
ORD-20240501-00083,2024-05-01,Tablet,Tablet Mini, norte ,9,573.58,430.82,0.04
ORD-20241019-00084,2024-10-19,Tablet,Tablet Plus, Sur,8,609.28,396.97,0.01
ORD-20230830-00085,2023-08-30,Teléfono,Teléfono Y, ESTE,7,580.63,407.6,0.11
ORD-20240513-00086,2024-05-13,Tablet,Tablet Mini,Sur,11,835.33,618.92,0.02
ORD-20241022-00087,2024-10-22,Cómputo,Laptop Pro, Sur,14,1496.0,1170.53,0.16
ORD-20231202-00088,2023-12-02,Cómputo,Laptop Pro,este ,6,1877.09,1490.78,0.02
ORD-20230707-00089,2023-07-07,Tablet,Tablet Mini, Sur,8,529.5,341.64,0.28
ORD-20230801-00090,2023-08-01,Tablet,Tablet Plus,este ,13,806.83,534.83,0.12
ORD-20230906-00091,2023-09-06,Cómputo,Laptop Pro, norte ,8,1618.55,1060.77,0.01
ORD-20240405-00092,2024-04-05,Cómputo,Laptop Mini, Sur,9,947.94,582.71,0.22
ORD-20230709-00093,2023-07-09,Accesorio,Teclado, norte ,5,32.47,21.08,0.02
ORD-20240905-00094,2024-09-05,Cómputo,Laptop Pro,Norte,10,1617.81,992.21,0.15
ORD-20230917-00095,2023-09-17,Cómputo,Laptop Pro,NORTE ,9,1773.73,1320.49,0.28
ORD-20230217-00096,2023-02-17,Tablet,Tablet Plus,Oeste,10,573.3,390.76,0.05
ORD-20230104-00097,2023-01-04,Teléfono,Teléfono Y,Sur,418,777.34,615.0,0.0
ORD-20230119-00098,2023-01-19,Cómputo,Laptop Mini,este ,4,1150.46,888.11,0.08
ORD-20240404-00099,2024-04-04,Cómputo,Laptop Pro, Sur,9,1500.85,1042.27,0.02
ORD-20230911-00100,2023-09-11,Cómputo,Laptop Air,Sur,8,1793.69,1182.24,0.27
ORD-20230726-00101,2023-07-26,Cómputo,Laptop Mini,norte,6,1960.1,1253.5,0.21
ORD-20240322-00102,2024-03-22,Tablet,Tablet Mini, oeste,5,302.25,213.76,0.16
ORD-20230219-00103,2023-02-19,Accesorio,Teclado,Sur,10,23.29,15.23,0.0
ORD-20240131-00104,2024-01-31,Teléfono,Teléfono Z,este,6,769.54,508.73,0.13
ORD-20240326-00105,2024-03-26,Cómputo,Laptop Pro,este ,5,1286.57,805.25,0.18
ORD-20230124-00106,2023-01-24,Teléfono,Teléfono X, ESTE,5,1188.17,891.65,0.12
ORD-20230509-00107,2023-05-09,Teléfono,Teléfono X,norte,8,1066.91,836.75,0.07
ORD-20231013-00108,2023-10-13,Tablet,Tablet Plus,norte,8,718.4,555.36,0.24
ORD-20230811-00109,2023-08-11,Teléfono,Teléfono Z,norte,14,1051.83,716.61,0.09
ORD-20241125-00110,2024-11-25,Cómputo,Laptop Mini,Este,6,1808.34,1168.23,0.25
ORD-20231119-00111,2023-11-19,Teléfono,Teléfono Z,Oeste,9,766.3,468.36,0.28
ORD-20240417-00112,2024-04-17,Accesorio,Mouse, oeste,9,124.94,93.71,0.25
ORD-20230420-00113,2023-04-20,Teléfono,Teléfono Y,NORTE ,11,1036.45,730.44,0.05
ORD-20240812-00114,2024-08-12,Tablet,Tablet Mini, ESTE,8,838.07,597.92,0.0
ORD-20230609-00115,2023-06-09,Cómputo,Laptop Air,Este,11,950.66,702.65,0.24
ORD-20240714-00116,2024-07-14,Cómputo,Laptop Mini, oeste,9,1175.29,766.99,0.18
ORD-20231213-00117,2023-12-13,Teléfono,Teléfono Z,OESTE ,9,986.19,650.38,0.15
ORD-20231025-00118,2023-10-25,Accesorio,Cargador,Sur,4,95.27,68.91,0.13
ORD-20231215-00119,2023-12-15,Accesorio,Mouse, oeste,12,122.19,90.54,0.05
ORD-20240127-00120,2024-01-27,Teléfono,Teléfono Z, norte ,9,624.8,441.7,0.24
ORD-20230706-00121,2023-07-06,Accesorio,Audífonos,Oeste,6,91.65,65.29,0.26
ORD-20230330-00122,2023-03-30,Tablet,Tablet Plus,este ,5,517.31,405.6,0.24
ORD-20230806-00123,2023-08-06,Cómputo,Laptop Mini,NORTE ,11,1617.95,1008.44,0.13
ORD-20241223-00124,2024-12-23,Teléfono,Teléfono Y,este,4,1077.1,856.79,0.29
ORD-20230723-00125,2023-07-23,Teléfono,Teléfono Z,este ,10,1093.79,808.07,0.13
ORD-20240502-00126,2024-05-02,Accesorio,Audífonos, norte ,15,131.65,85.14,0.17
ORD-20230710-00127,2023-07-10,Cómputo,Laptop Air,este,8,1582.82,1201.92,0.21
ORD-20240904-00128,2024-09-04,Teléfono,Teléfono X,Sur,4,1094.25,820.08,0.01
ORD-20231219-00129,2023-12-19,Teléfono,Teléfono Y,norte,12,669.15,421.13,0.03
ORD-20240219-00130,2024-02-19,Cómputo,Laptop Air,SUR,9,1306.52,888.11,0.23
ORD-20230604-00131,2023-06-04,Teléfono,Teléfono Z,este,4,776.46,613.82,0.19
ORD-20240320-00132,2024-03-20,Cómputo,Laptop Pro, norte ,9,1880.58,1129.34,0.14
ORD-20231229-00133,2023-12-29,Cómputo,Laptop Mini,sur ,9,1020.84,616.64,0.21
ORD-20240604-00134,2024-06-04,Teléfono,Teléfono Y, norte ,5,1298.23,1000.99,0.07
ORD-20230630-00135,2023-06-30,Accesorio,Teclado,Este,7,148.49,107.81,0.09
ORD-20240321-00136,2024-03-21,Tablet,Tablet Plus,NORTE ,10,702.99,428.26,0.25
ORD-20240904-00137,2024-09-04,Accesorio,Teclado, Sur,3,128.25,89.16,0.05
ORD-20231208-00138,2023-12-08,Tablet,Tablet Plus,Norte,5,517.13,310.3,0.15
ORD-20230512-00139,2023-05-12,Teléfono,Teléfono X,Este,13,1048.59,789.78,0.29
ORD-20230223-00140,2023-02-23,Cómputo,Laptop Air, oeste,6,1701.09,1341.02,0.27
ORD-20240922-00141,2024-09-22,Cómputo,Laptop Mini,este,8,1270.07,931.79,0.23
ORD-20240105-00142,2024-01-05,Accesorio,Teclado,Este,8,58.87,45.68,0.29
ORD-20230511-00143,2023-05-11,Cómputo,Laptop Pro, norte ,8,1166.61,873.38,0.28
ORD-20230803-00144,2023-08-03,Teléfono,Teléfono Y,Norte,8,1227.85,973.74,0.11
ORD-20240702-00145,2024-07-02,Tablet,Tablet Mini,norte,9,504.33,364.74,0.22
ORD-20230928-00146,2023-09-28,Tablet,Tablet Plus,este ,3,533.18,326.96,0.2
ORD-20240322-00147,2024-03-22,Cómputo,Laptop Air, ESTE,12,1513.59,1072.4,0.13
ORD-20240816-00148,2024-08-16,Cómputo,Laptop Mini,Norte,4,1486.77,1143.55,0.27
ORD-20230602-00149,2023-06-02,Accesorio,Audífonos,Oeste  ,11,20.03,13.98,0.29
ORD-20240920-00150,2024-09-20,Accesorio,Cargador,OESTE ,8,38.41,29.33,0.04
ORD-20240709-00151,2024-07-09,Cómputo,Laptop Mini,Oeste  ,1,1043.91,813.78,0.11
ORD-20230902-00152,2023-09-02,Cómputo,Laptop Air,este ,5,1646.27,1059.39,0.2
ORD-20230702-00153,2023-07-02,Teléfono,Teléfono X, oeste,7,932.17,738.28,0.15
ORD-20230909-00154,2023-09-09,Tablet,Tablet Mini, Sur,5,665.45,450.79,0.21
ORD-20230304-00155,2023-03-04,Cómputo,Laptop Air,SUR,8,1562.16,1106.58,0.3
ORD-20231110-00156,2023-11-10,Cómputo,Laptop Mini,norte,10,1998.56,1446.53,0.1
ORD-20240327-00157,2024-03-27,Cómputo,Laptop Pro, ESTE,6,1964.02,1364.38,0.13
ORD-20240718-00158,2024-07-18,Accesorio,Teclado,este,9,28.27,21.95,0.12
ORD-20240128-00159,2024-01-28,Tablet,Tablet Plus,Norte,4,785.01,613.58,0.04
ORD-20230320-00160,2023-03-20,Tablet,Tablet Mini, ESTE,4,884.97,558.71,0.12
ORD-20240408-00161,2024-04-08,Teléfono,Teléfono X,Oeste,6,517.5,394.18,0.04
ORD-20230314-00162,2023-03-14,Teléfono,Teléfono X, Sur,3,695.88,446.77,0.06
ORD-20230508-00163,2023-05-08,Accesorio,Cargador,Sur,6,107.48,69.81,0.27
ORD-20241204-00164,2024-12-04,Accesorio,Mouse,NORTE ,7,87.88,59.96,0.13
ORD-20230701-00165,2023-07-01,Tablet,Tablet Plus,OESTE ,10,488.7,304.42,0.11
ORD-20240225-00166,2024-02-25,Accesorio,Mouse,este ,10,74.68,50.73,0.12
ORD-20240515-00167,2024-05-15,Cómputo,Laptop Mini,Sur,7,1717.76,1144.82,0.05
ORD-20240823-00168,2024-08-23,Cómputo,Laptop Pro,Este,13,1288.86,791.63,0.22
ORD-20230301-00169,2023-03-01,Cómputo,Laptop Air,sur ,8,1339.73,848.79,0.25
ORD-20240906-00170,2024-09-06,Accesorio,Audífonos,Norte,10,99.51,74.48,0.18
ORD-20241001-00171,2024-10-01,Teléfono,Teléfono X,NORTE ,10,762.36,516.64,0.23
ORD-20240521-00172,2024-05-21,Cómputo,Laptop Air,Oeste,7,1453.69,922.56,0.0
ORD-20231110-00173,2023-11-10,Tablet,Tablet Mini,SUR,4,891.9,709.61,0.16
ORD-20230715-00174,2023-07-15,Cómputo,Laptop Mini,Este,8,1327.3,833.63,0.25
ORD-20240328-00175,2024-03-28,Teléfono,Teléfono Y, norte ,4,1075.16,779.62,0.24
ORD-20240506-00176,2024-05-06,Tablet,Tablet Mini,norte,9,847.48,570.88,0.12
ORD-20230817-00177,2023-08-17,Cómputo,Laptop Pro,Norte,4,913.45,593.68,0.26
ORD-20240513-00178,2024-05-13,Teléfono,Teléfono Y,Norte,9,546.47,349.48,0.22
ORD-20230511-00179,2023-05-11,Tablet,Tablet Plus,este,11,724.54,468.57,0.04
ORD-20230707-00180,2023-07-07,Cómputo,Laptop Air,sur ,12,1473.9,1134.41,0.07
ORD-20230108-00181,2023-01-08,Tablet,Tablet Plus,Oeste,5,710.65,489.29,0.26
ORD-20230801-00182,2023-08-01,Tablet,Tablet Plus, ESTE,5,407.23,316.53,0.25
ORD-20230603-00183,2023-06-03,Cómputo,Laptop Mini, Sur,6,1839.71,1112.63,0.0
ORD-20240823-00184,2024-08-23,Tablet,Tablet Plus,este ,9,482.58,291.58,0.24
ORD-20240927-00185,2024-09-27,Cómputo,Laptop Air,OESTE ,8,1126.59,768.13,0.02
ORD-20240929-00186,2024-09-29,Teléfono,Teléfono X,SUR,5,662.0,446.08,0.29
ORD-20241212-00187,2024-12-12,Teléfono,Teléfono Z,Este,5,656.75,438.62,0.07
ORD-20240404-00188,2024-04-04,Teléfono,Teléfono Z,NORTE ,13,920.32,567.73,0.3
ORD-20231119-00189,2023-11-19,Tablet,Tablet Plus,,3,602.18,480.38,0.14
ORD-20240301-00190,2024-03-01,Cómputo,Laptop Pro, Sur,9,1786.4,1164.76,0.25
ORD-20231004-00191,2023-10-04,Tablet,Tablet Mini,Oeste,4,641.81,475.78,0.16
ORD-20231213-00192,2023-12-13,Accesorio,Audífonos, oeste,10,119.8,84.52,0.05
ORD-20230721-00193,2023-07-21,Teléfono,Teléfono Z, Sur,12,764.04,597.78,0.29
ORD-20240521-00194,2024-05-21,Cómputo,Laptop Mini,NORTE ,9,1303.99,912.88,0.05
ORD-20241207-00195,2024-12-07,Tablet,Tablet Plus,SUR,8,505.17,395.22,0.26
ORD-20230427-00196,2023-04-27,Tablet,Tablet Mini, norte ,8,730.21,528.01,0.14
ORD-20230212-00197,2023-02-12,Teléfono,Teléfono Y, oeste,10,1083.75,860.47,0.18
ORD-20231004-00198,2023-10-04,Tablet,Tablet Mini,SUR,7,556.92,385.28,0.27
ORD-20231026-00199,2023-10-26,Cómputo,Laptop Mini,Norte,3,1410.34,1086.04,0.27
ORD-20231029-00200,2023-10-29,Cómputo,Laptop Mini,Sur,6,1548.7,1142.14,0.25
ORD-20230504-00201,2023-05-04,Cómputo,Laptop Pro,Oeste,11,1119.84,722.62,0.21
ORD-20230430-00202,2023-04-30,Cómputo,Laptop Pro,NORTE ,7,1859.65,1365.58,0.02
ORD-20230625-00203,2023-06-25,Accesorio,Mouse,Sur,5,68.71,43.9,0.23
ORD-20240227-00204,2024-02-27,Accesorio,Cargador,este ,8,45.71,34.94,0.29
ORD-20240724-00205,2024-07-24,Teléfono,Teléfono Z,este ,6,990.39,613.48,0.17
ORD-20231212-00206,2023-12-12,Teléfono,Teléfono Z,SUR,12,1275.29,981.75,0.21
ORD-20230529-00207,2023-05-29,Teléfono,Teléfono Y,Sur,5,987.64,739.26,0.19
ORD-20231108-00208,2023-11-08,Accesorio,Audífonos,Norte,4,126.9,90.74,0.13
ORD-20240208-00209,2024-02-08,Cómputo,Laptop Air, Sur,11,1940.42,1550.49,0.27
ORD-20241114-00210,2024-11-14,Teléfono,Teléfono X,Oeste,13,1279.39,860.07,0.06
ORD-20230926-00211,2023-09-26,Teléfono,Teléfono Z,Este,9,794.44,502.2,0.3
ORD-20230624-00212,2023-06-24,Cómputo,Laptop Mini,Oeste  ,8,1005.47,692.92,0.25
ORD-20240106-00213,2024-01-06,Tablet,Tablet Plus,norte,4,835.81,539.08,0.07
ORD-20230214-00214,2023-02-14,Tablet,Tablet Plus,OESTE ,4,446.83,301.6,0.22
ORD-20230901-00215,2023-09-01,Cómputo,Laptop Mini, norte ,11,1914.06,1510.68,0.29
ORD-20230430-00216,2023-04-30,Cómputo,Laptop Pro,SUR,5,1730.17,1366.65,0.29
ORD-20230726-00217,2023-07-26,Cómputo,Laptop Air,Este,8,1801.15,1384.77,0.1
ORD-20230404-00218,2023-04-04,Tablet,Tablet Plus, ESTE,8,359.87,226.81,0.13
ORD-20230726-00219,2023-07-26,Cómputo,Laptop Air, oeste,7,1726.22,1274.07,0.08
ORD-20230914-00220,2023-09-14,Tablet,Tablet Plus, Sur,10,883.73,706.73,0.19
ORD-20230304-00221,2023-03-04,Tablet,Tablet Mini,SUR,9,574.54,442.58,0.15
ORD-20230909-00222,2023-09-09,Teléfono,Teléfono Y,Oeste,12,937.3,672.74,0.2
ORD-20231219-00223,2023-12-19,Teléfono,Teléfono Z,Este,5,808.04,488.4,0.17
ORD-20230310-00224,2023-03-10,Tablet,Tablet Mini,NORTE ,7,809.36,594.33,0.02
ORD-20241007-00225,2024-10-07,Tablet,Tablet Mini,Oeste  ,10,675.81,533.79,0.24
ORD-20241002-00226,2024-10-02,Cómputo,Laptop Air, norte ,5,1023.83,713.99,0.04
ORD-20241123-00227,2024-11-23,Teléfono,Teléfono Y, oeste,9,1101.67,818.18,0.12
ORD-20230329-00228,2023-03-29,Accesorio,Audífonos,norte,5,57.91,35.4,0.15
ORD-20230121-00229,2023-01-21,Teléfono,Teléfono X,este ,6,1138.84,870.94,0.16
ORD-20241209-00230,2024-12-09,Teléfono,Teléfono Y,Sur,7,833.54,510.28,0.22
ORD-20241101-00231,2024-11-01,Tablet,Tablet Plus, oeste,13,413.71,302.73,0.1
ORD-20240808-00232,2024-08-08,Teléfono,Teléfono Z, ESTE,8,1050.43,746.37,0.11
ORD-20230330-00233,2023-03-30,Teléfono,Teléfono X, oeste,11,517.85,379.92,0.04
ORD-20240502-00234,2024-05-02,Teléfono,Teléfono Z,Norte,13,663.07,523.51,0.08
ORD-20240630-00235,2024-06-30,Tablet,Tablet Plus, ESTE,6,449.77,325.72,0.24
ORD-20230731-00236,2023-07-31,Tablet,Tablet Mini,Norte,9,365.46,271.57,0.15
ORD-20241017-00237,2024-10-17,Tablet,Tablet Mini,Sur,9,308.64,208.62,0.09
ORD-20240705-00238,2024-07-05,Teléfono,Teléfono Y,Sur,8,626.38,487.79,0.0
ORD-20230503-00239,2023-05-03,Cómputo,Laptop Pro, oeste,10,1652.7,1256.6,0.2
ORD-20240227-00240,2024-02-27,Cómputo,Laptop Mini, Sur,8,1221.3,973.99,0.11
ORD-20230831-00241,2023-08-31,Cómputo,Laptop Pro,sur ,6,1327.45,897.22,0.2
ORD-20240728-00242,2024-07-28,Tablet,Tablet Mini,este ,11,815.24,492.24,0.01
ORD-20231004-00243,2023-10-04,Teléfono,Teléfono Z, oeste,11,1007.57,742.47,0.24
ORD-20240922-00244,2024-09-22,Accesorio,Audífonos,Norte,11,74.46,58.56,0.08
ORD-20230911-00245,2023-09-11,Teléfono,Teléfono Y, Sur,6,1208.41,852.57,0.06
ORD-20240430-00246,2024-04-30,Tablet,Tablet Mini,Este,7,654.12,400.12,0.13
ORD-20240113-00247,2024-01-13,Cómputo,Laptop Pro,Oeste,9,1852.55,1119.08,0.11
ORD-20231103-00248,2023-11-03,Teléfono,Teléfono X, norte ,6,1118.76,805.5,0.2
ORD-20230107-00249,2023-01-07,Tablet,Tablet Plus, ESTE,4,800.86,514.63,0.1
ORD-20241220-00250,2024-12-20,Tablet,Tablet Mini,Sur,6,325.13,205.41,0.23
ORD-20231105-00251,2023-11-05,Teléfono,Teléfono Y,NORTE ,6,1242.43,903.07,0.25
ORD-20230902-00252,2023-09-02,Teléfono,Teléfono Y,norte,7,1288.31,806.23,0.12
ORD-20241003-00253,2024-10-03,Tablet,Tablet Mini,Oeste  ,6,752.8,461.25,0.14
ORD-20230103-00254,2023-01-03,Cómputo,Laptop Pro,OESTE ,10,1493.98,910.86,0.04
ORD-20230305-00255,2023-03-05,Teléfono,Teléfono X,norte,10,1230.58,785.19,0.13
ORD-20231212-00256,2023-12-12,Accesorio,Mouse,este ,8,45.04,30.96,0.1
ORD-20231220-00257,2023-12-20,Teléfono,Teléfono X,NORTE ,8,996.04,721.13,0.1
ORD-20240917-00258,2024-09-17,Cómputo,Laptop Mini,este,577,1418.13,1099.17,0.12
ORD-20231218-00259,2023-12-18,Cómputo,Laptop Air,Sur,7,1685.5,1136.65,0.01
ORD-20240530-00260,2024-05-30,Tablet,Tablet Mini, Sur,11,478.68,297.26,0.27
ORD-20240726-00261,2024-07-26,Accesorio,Audífonos,norte,4,79.99,53.33,0.14
ORD-20230712-00262,2023-07-12,Tablet,Tablet Plus,Oeste  ,6,833.55,646.88,0.11
ORD-20241206-00263,2024-12-06,Accesorio,Teclado,Oeste  ,12,78.83,60.01,0.25
ORD-20241120-00264,2024-11-20,Teléfono,Teléfono Y, oeste,4,1264.87,849.17,0.26
ORD-20240531-00265,2024-05-31,Accesorio,Audífonos,sur ,5,85.68,66.49,0.19
ORD-20230203-00266,2023-02-03,Accesorio,Mouse, oeste,10,103.56,66.97,0.16
ORD-20230720-00267,2023-07-20,Cómputo,Laptop Air, Sur,14,1285.75,1024.27,0.06
ORD-20230407-00268,2023-04-07,Tablet,Tablet Plus,NORTE ,8,577.13,377.08,0.11
ORD-20240504-00269,2024-05-04,Tablet,Tablet Mini, norte ,9,645.15,400.02,0.07
ORD-20230119-00270,2023-01-19,Cómputo,Laptop Mini,Sur,9,1371.44,835.36,0.09
ORD-20230912-00271,2023-09-12,Teléfono,Teléfono X, oeste,9,969.37,657.18,0.23
ORD-20230103-00272,2023-01-03,Cómputo,Laptop Mini, oeste,6,1387.55,1074.7,0.27
ORD-20240715-00273,2024-07-15,Tablet,Tablet Mini, ESTE,2,807.7,557.11,0.03
ORD-20231002-00274,2023-10-02,Accesorio,Audífonos,Norte,8,51.83,40.45,0.24
ORD-20240508-00275,2024-05-08,Cómputo,Laptop Pro,Sur,5,1236.65,770.68,0.21
ORD-20230505-00276,2023-05-05,Accesorio,Mouse,Norte,7,10.2,6.58,0.01
ORD-20241215-00277,2024-12-15,Accesorio,Teclado,Sur,7,65.75,41.25,0.23
ORD-20231112-00278,2023-11-12,Accesorio,Teclado,SUR,6,108.83,70.25,0.11
